id, topics,components,pr_number
5919,None,Civil Division; ,14-378; 
5920,None,Civil Division; ,14-379; 
5921,None,Office of the Attorney General; ,14-377; 
5922,None,Tax Division; ,14-376; 
5923,None,Criminal Division; ,14-375; 
5924,None,Tax Division; ,14-374; 
5925,None,Tax Division; ,14-372; 
5926,None,Office of the Attorney General; ,14-373; 
5927,None,Civil Rights Division; Civil Rights - Federal Coordination and Compliance Section; ,14-371; 
5928,Consumer Protection; ,Civil Division; ,14-370; 
5929,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-368; 
5930,None,Tax Division; ,14-367; 
5931,None,Antitrust Division; ,14-365; 
5932,None,Criminal Division; ,14-366; 
5933,None,Civil Rights Division; ,14-364; 
5934,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-361; 
5935,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-359; 
5936,None,Office of the Deputy Attorney General; ,14-356; 
5937,None,Civil Rights Division; Civil Rights - Federal Coordination and Compliance Section; ,14-360; 
5938,None,Criminal Division; ,14-358; 
5939,None,Civil Division; ,14-357; 
5940,None,Tax Division; ,14-355; 
5941,None,Criminal Division; ,14-353; 
5942,None,Tax Division; ,14-352; 
5943,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-351; 
5944,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-350; 
5945,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-347; 
5946,None,Tax Division; ,14-346; 
5947,None,Office of the Attorney General; ,14-345; 
5948,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-344; 
5949,None,Criminal Division; ,14-343; 
5950,None,Antitrust Division; ,14-342; 
5951,None,Tax Division; ,14-341; 
5952,None,Antitrust Division; ,14-340; 
5953,None,Tax Division; ,14-339; 
5954,None,Office of the Deputy Attorney General; ,14-338; 
5955,Wildlife; ,Environment and Natural Resources Division; ,14-336; 
5956,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-335; 
5957,Consumer Protection; ,Civil Division; ,14-334; 
5958,None,Criminal Division; ,14-333; 
5959,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-332; 
5960,None,Office of the Attorney General; ,14-331; 
5961,None,Criminal Division; ,14-330; 
5962,None,Tax Division; ,14-.329; 
5963,None,Criminal Division; ,14-327; 
5964,None,Criminal Division; ,14-326; 
5965,None,Antitrust Division; ,14-325; 
5966,None,Criminal Division; ,14-324; 
5967,None,Tax Division; ,14-323; 
5968,None,Office of the Attorney General; ,14-319; 
5969,None,Office of the Attorney General; ,14-322; 
5970,None,Office of the Attorney General; ,14-320; 
5971,None,Antitrust Division; ,14-321; 
5972,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-318; 
5973,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-317; 
5974,None,Criminal Division; ,14-316; 
5975,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-315; 
5976,None,Antitrust Division; ,14-314; 
5977,None,Office of the Attorney General; ,14-313; 
5978,None,Antitrust Division; ,14-308; 
5979,None,Tax Division; ,14-312; 
5980,None,Criminal Division; ,14-311; 
5981,None,Criminal Division; ,14-310; 
5982,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-309; 
5983,None,Antitrust Division; ,14-306; 
5984,None,Tax Division; ,14-307; 
5985,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-305; 
5986,None,Criminal Division; ,14-304; 
5987,None,Criminal Division; ,14-303; 
5988,None,Tax Division; ,14-302; 
5989,None,Office of the Attorney General; ,14-301; 
5990,None,Tax Division; ,14-300; 
5991,None,Tax Division; ,14-299; 
5992,None,Civil Division; ,14-298; 
5993,None,Tax Division; ,14-297; 
5994,Consumer Protection; ,Civil Division; ,14-294; 
5995,Consumer Protection; ,Civil Division; ,14-295; 
5996,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-293; 
5997,None,Environment and Natural Resources Division; ,14-292; 
5998,None,Criminal Division; ,14-290; 
5999,None,Criminal Division; ,14-289; 
6000,None,Criminal Division; ,14-288; 
6001,None,Environment and Natural Resources Division; ,14-287; 
6002,None,Office of the Attorney General; ,14-286; 
6003,None,Civil Division; ,14-281; 
6004,None,Tax Division; ,14-285; 
6005,None,Criminal Division; ,14-284; 
6006,None,Tax Division; ,14-283; 
6007,None,Criminal Division; ,14-280; 
6008,None,National Security Division (NSD); ,14-279; 
6009,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-278; 
6010,None,Environment and Natural Resources Division; ,14-277; 
6011,None,Criminal Division; ,14-276; 
6012,None,Tax Division; ,14-275; 
6013,None,Criminal Division; ,14-274; 
6014,None,Criminal Division; ,14-273; 
6015,None,Criminal Division; ,14-272; 
6016,None,Tax Division; ,14-271; 
6017,None,Civil Division; ,14-270; 
6018,None,Tax Division; ,14-269; 
6019,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-268; 
6020,None,Criminal Division; ,14-267; 
6021,None,Tax Division; ,14-266; 
6022,None,Criminal Division; ,14-265; 
6023,None,Criminal Division; ,14-264; 
6024,None,Office of the Attorney General; ,14-263; 
6025,None,Civil Rights Division; ,14-262; 
6026,None,Criminal Division; ,14-261; 
6027,None,Tax Division; ,14-260; 
6028,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-258; 
6029,None,Antitrust Division; ,14-255; 
6030,None,Criminal Division; ,14-257; 
6031,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-256; 
6032,None,Criminal Division; ,14-254; 
6033,None,Criminal Division; ,14-253; 
6034,None,Civil Division; ,14-252; 
6035,None,Civil Division; ,14-251; 
6036,None,Tax Division; ,14-247; 
6037,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-250; 
6038,None,Criminal Division; ,14-249; 
6039,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-248; 
6040,None,Office of the Attorney General; ,14-246; 
6041,None,Tax Division; ,14-245; 
6042,None,Tax Division; ,14-244; 
6043,None,Criminal Division; ,14-243; 
6044,None,Civil Division; ,14-242; 
6045,None,Criminal Division; ,14-241; 
6046,None,Criminal Division; ,14-240; 
6047,None,Antitrust Division; ,14-238; 
6048,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-239; 
6049,None,Tax Division; ,14-236; 
6050,None,Criminal Division; ,14-237; 
6051,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-235; 
6052,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-234; 
6053,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-233; 
6054,None,National Security Division (NSD); ,14-232; 
6055,None,Tax Division; ,14-231; 
6056,None,Environment and Natural Resources Division; ,14-228; 
6057,None,Office of the Attorney General; ,14-229; 
6058,None,Criminal Division; ,14-230; 
6059,None,Tax Division; ,14-226; 
6060,None,Environment and Natural Resources Division; ,14-225; 
6061,None,Antitrust Division; ,14-222; 
6062,None,Office of the Attorney General; ,14-224; 
6063,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,14-221; 
6064,None,Tax Division; ,14-220; 
6065,Access to Justice; ,Office for Access to Justice; Civil Rights Division; Civil Rights - Federal Coordination and Compliance Section; ,14-219; 
6066,None,Tax Division; ,14-218; 
6067,None,Civil Division; ,14-216; 
6068,None,Criminal Division; ,14-217; 
6069,Wildlife; ,Environment and Natural Resources Division; ,14-215; 
6070,None,Office of the Attorney General; ,14-213; 
6071,None,Criminal Division; ,14-214; 
6072,None,Tax Division; ,14-212; 
6073,None,Antitrust Division; ,14-209; 
6074,None,Criminal Division; ,14-211; 
6075,None,Office of the Attorney General; ,14-210; 
6076,None,Tax Division; ,14-208; 
6077,None,Criminal Division; ,14-207; 
6078,None,Office of the Attorney General; ,14-206; 
6079,None,Tax Division; ,14-205; 
6080,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-204; 
6081,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-203; 
6082,None,Criminal Division; ,14-202; 
6083,StopFraud; ,Antitrust Division; ,14-201; 
6084,None,Civil Division; ,14-200; 
6085,None,Tax Division; ,14-199; 
6086,None,Criminal Division; ,14-198; 
6087,None,Office of the Attorney General; ,14-197; 
6088,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-196; 
6089,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-195; 
6090,None,Office of the Attorney General; ,14-194; 
6091,None,Tax Division; ,14-193; 
6092,Consumer Protection; ,Civil Division; ,14-192; 
6093,None,Office of the Attorney General; ,14-191; 
6094,None,Criminal Division; ,14-190; 
6095,None,Criminal Division; ,14-189; 
6096,None,Tax Division; ,14-188; 
6097,None,Criminal Division; ,14-186; 
6098,Consumer Protection; ,Civil Division; ,14-187; 
6099,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,14-184; 
6100,None,Tax Division; ,14-183; 
6101,StopFraud; ,Antitrust Division; ,14-182; 
6102,None,Criminal Division; ,14-181; 
6103,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-180; 
6104,None,Tax Division; ,14-179; 
6105,None,Tax Division; ,14-178; 
6106,None,Antitrust Division; ,14-177; 
6107,None,Civil Division; ,14-176; 
6108,None,Criminal Division; ,14-175; 
6109,None,Tax Division; ,14-174; 
6110,None,Civil Division; ,14-173; 
6111,None,Criminal Division; ,14-172; 
6112,None,Criminal Division; ,14-171; 
6113,None,Criminal Division; ,14-170; 
6114,None,Criminal Division; ,14-169; 
6115,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,14-168; 
6116,None,Civil Division; ,14-167; 
6117,None,Civil Rights Division; ,14-166; 
6118,Wildlife; ,Environment and Natural Resources Division; ,14-165; 
6119,None,Tax Division; ,14-164; 
6120,None,Criminal Division; ,14-162; 
6121,None,Tax Division; ,14-163; 
6122,None,Criminal Division; ,14-161; 
6123,Consumer Protection; ,Civil Division; ,14-160; 
6124,None,Criminal Division; ,14-159; 
6125,None,Antitrust Division; ,14-158; 
6126,None,Antitrust Division; ,14-157; 
6127,Indian Country Law and Justice; ,Office of Tribal Justice; ,02-999; 
6128,None,Antitrust Division; ,14-156; 
6129,None,Office of the Attorney General; ,14-154; 
6130,None,Civil Division; ,14-155; 
6131,None,Criminal Division; ,14-153; 
6132,None,Criminal Division; ,14-152; 
6133,None,Tax Division; ,14-151; 
6134,None,Civil Rights Division; ,14-150; 
6135,None,Criminal Division; ,14-149; 
6136,None,Office of the Associate Attorney General; ,14-147; 
6137,None,Criminal Division; ,14-148; 
6138,None,Office of the Associate Attorney General; ,14-146; 
6139,None,Tax Division; ,14-145; 
6140,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,14-144; 
6141,None,Office of the Attorney General; ,14-141; 
6142,Hate Crimes; ,Civil Rights Division; ,14-142; 
6143,None,National Security Division (NSD); ,14-143; 
6144,None,Criminal Division; ,14-140; 
6145,None,Criminal Division; ,14-139; 
6146,None,Civil Division; ,14-138; 
6147,None,Antitrust Division; ,14-137; 
6148,None,Civil Division; ,14-135; 
6149,None,Tax Division; ,14-134; 
6150,None,Tax Division; ,14-133; 
6151,None,Tax Division; ,14-132; 
6152,None,Tax Division; ,14-131; 
6153,None,Antitrust Division; ,14-129; 
6154,None,Tax Division; ,14-130; 
6155,None,Tax Division; ,14-128; 
6156,None,Tax Division; ,14-127; 
6157,Access to Justice; Indian Country Law and Justice; ,Office for Access to Justice; Office of the Attorney General; ,14-126; 
6158,None,Environment and Natural Resources Division; ,14-124; 
6159,None,Civil Rights Division; ,14-125; 
6160,None,Environment and Natural Resources Division; ,14-122; 
6161,Consumer Protection; ,Civil Division; ,14-123; 
6162,None,Tax Division; ,14-121; 
6163,StopFraud; ,Civil Division; ,14-120; 
6164,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-119; 
6165,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-118; 
6166,None,Civil Rights Division; ,14-117; 
6167,None,Criminal Division; ,14-116; 
6168,Hate Crimes; ,Civil Rights Division; ,14-115; 
6169,None,Criminal Division; ,14-114; 
6170,None,Tax Division; ,14-113; 
6171,None,Criminal Division; ,14-112; 
6172,None,Civil Rights Division; ,14-110; 
6173,None,Criminal Division; ,14-109; 
6174,None,Criminal Division; ,14-108; 
6175,None,Criminal Division; ,14-107; 
6176,None,Antitrust Division; ,14-106; 
6177,None,Tax Division; ,14-105; 
6178,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,14-104; 
6179,None,Criminal Division; ,14-103; 
6180,None,Office of the Attorney General; ,14-100; 
6181,None,Civil Division; ,14-102; 
6182,None,Civil Rights Division; ,14-099; 
6183,None,Criminal Division; ,14-098; 
6184,None,Criminal Division; ,14-097; 
6185,None,Civil Rights Division; ,14-096; 
6186,None,Civil Division; ,14-095; 
6187,None,Tax Division; ,14-094; 
6188,Wildlife; ,Environment and Natural Resources Division; ,14-093; 
6189,None,Office of the Attorney General; ,14-092; 
6190,None,Criminal Division; ,14-091; 
6191,None,Criminal Division; ,14-090; 
6192,None,Criminal Division; ,14-088; 
6193,None,Tax Division; ,14-086; 
6194,None,Tax Division; ,14-085; 
6195,None,Tax Division; ,14-084; 
6196,None,Criminal Division; ,14-083; 
6197,None,Criminal Division; ,14-082; 
6198,None,Office of the Attorney General; ,14-081; 
6199,None,Tax Division; ,14-080; 
6200,None,Criminal Division; ,14-079; 
6201,None,Criminal Division; ,14-078; 
6202,None,Criminal Division; ,14-077; 
6203,None,Civil Division; ,14-076; 
6204,None,Civil Division; ,14-073; 
6205,Hate Crimes; ,Civil Rights Division; ,14-075; 
6206,None,Civil Rights Division; ,14-074; 
6207,None,Criminal Division; ,14-072; 
6208,None,Criminal Division; ,14-071; 
6209,None,Civil Division; ,14-070; 
6210,None,Civil Division; ,14-069; 
6211,None,Office of the Attorney General; ,14-068; 
6212,None,Tax Division; ,14-067; 
6213,None,Criminal Division; ,14-066; 
6214,None,Criminal Division; ,14-065; 
6215,None,Criminal Division; ,14-064; 
6216,None,Environment and Natural Resources Division; ,14-062; 
6217,None,Civil Rights Division; ,14-061; 
6218,None,Civil Division; ,14-060; 
6219,None,Criminal Division; ,14-057; 
6220,None,Office of Public Affairs; ,14-056; 
6221,None,Tax Division; ,14-055; 
6222,None,Tax Division; ,14-054; 
6223,None,Tax Division; ,14-053; 
6224,None,Criminal Division; ,14-052; 
6225,None,Criminal Division; ,14-051; 
6226,None,Antitrust Division; ,14-049; 
6227,None,Environment and Natural Resources Division; ,14-050; 
6228,None,Tax Division; ,14-048; 
6229,None,Civil Rights Division; ,14-047; 
6230,None,Criminal Division; ,14-046; 
6231,None,Tax Division; ,14-045; 
6232,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-044; 
6233,None,Tax Division; ,14-043; 
6234,None,Tax Division; ,14-042; 
6235,None,Criminal Division; ,14-041; 
6236,None,Antitrust Division; Criminal Division; ,14-038; 
6237,None,Office of the Attorney General; ,14-039; 
6238,None,Civil Division; ,14-037; 
6239,None,Tax Division; ,14-036; 
6240,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-035; 
6241,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-034; 
6242,Wildlife; ,Environment and Natural Resources Division; ,14-033; 
6243,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-032; 
6244,None,Antitrust Division; ,14-029; 
6245,None,Office of the Attorney General; ,14-031; 
6246,None,Civil Division; ,14-030; 
6247,None,Antitrust Division; ,14-026; 
6248,None,Civil Rights Division; ,14-027; 
6249,None,Tax Division; ,14-028; 
6250,Consumer Protection; ,Civil Division; ,14-024; 
6251,None,Civil Rights Division; Civil Rights - Criminal Section; ,14-025; 
6252,None,Criminal Division; ,14-023; 
6253,None,Civil Division; ,14-022; 
6254,None,Civil Division; ,14-021; 
6255,None,Office of the Attorney General; ,14-020; 
6256,None,Criminal Division; ,14-019; 
6257,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,14-018; 
6258,None,Civil Rights Division; ,14-017; 
6259,None,Criminal Division; ,14-016; 
6260,None,Environment and Natural Resources Division; ,14-015; 
6261,None,Office of the Attorney General; ,14-014; 
